code,len,wid,time,mat,img_path,url
o08-12,15.0,5.0,5.0,0.0,product_images\20250805_202740.jpg,https://yedideri.com/product/kalpli-hakiki-deri-detayli-fiyonk-canta-charmi/
o08-6,15.0,20.0,5.0,35.0,product_images\2.jpg,https://yedideri.com/product/hakiki-deri-sekilli-anahtarlik-ayna-mini-kulaklik-kilifi-sevimli-canta-charmi/
o08-14,18.0,10.0,10.0,10.0,,https://yedideri.com/product/hakiki-deri-tavuk-figurlu-bozuk-para-cuzdani/
yedio14,25.0,10.0,10.0,0.0,,https://yedideri.com/product/gercek-kitty-deri-canta-susu/
k02,25.0,18.0,10.0,5.0,,https://yedideri.com/product/hakiki-deri-kartlik-cuzdan/
yedio13,27.0,10.0,5.0,0.0,,https://yedideri.com/product/hakiki-deri-komur-briket-canta-charmi/
c06,32.0,34.0,15.0,10.0,,https://yedideri.com/product/hakiki-deri-mini-canta/
p03,65.0,20.0,30.0,10.0,product_images\hakiki-deri-pasaport-kilifi5.jpg,https://yedideri.com/product/hakiki-deri-pasaport-kilifi/
o08,21.0,24.0,10.0,20.0,,https://yedideri.com/product/hakiki-deri-sekilli-anahtarlik-ayna-mini-kulaklik-kilifi-sevimli-canta-charmi-2/
d01,10.0,10.0,10.0,10.0,,https://yedideri.com/product/kalpli-deri-detayli-fiyonk-canta-charmi/
o08-5,10.0,5.0,5.0,10.0,,https://yedideri.com/product/limon-gercek-deri-fiyonk-canta-susu/
o08-9,10.0,10.0,9.0,0.0,,https://yedideri.com/product/schnauzer-kopek-deri-anahtarlik-canta-susu/
o08-4,23.0,10.0,10.0,10.0,,https://yedideri.com/product/tutun-kesesi-cuzdan-tutun-cantasi-gercek-deri/
o08-15,10.0,20.0,10.0,10.0,,https://yedideri.com/product/sapka-gercek-deri-canta-susu/
o08-16,10.0,15.0,10.0,0.0,,https://yedideri.com/product/semsiye-gercek-deri-canta-susu/
c15,56.0,50.0,60.0,200.0,,
indian,60.0,60.0,60.0,200.0,,indian
indian L,70.0,42.0,60.0,300.0,,indian L
mini lp,115.0,45.0,60.0,300.0,,
teravel bag,130.0,30.0,60.0,300.0,,
d1,60.0,60.0,60.0,200.0,,indian
d2,70.0,42.0,60.0,300.0,,indian L
d4,130.0,30.0,60.0,300.0,,
d5,45.0,45.0,30.0,50.0,D:\Yedideri\Yedideri_app\product_images\WhatsApp Image 2026-04-20 at 12.01.41 PM.jpeg,long wallet
